2025-07-10 00:29:20 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:21 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:23 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:23 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:24 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:27 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:27 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:29 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:30 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:31 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:31 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:32 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:33 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:29:34 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
